,Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Touches,FantPt/Touch
18,19,Tyreek Hill,KAN,WR,27,17,16,0,0,0,0,0,9,96,10.67,0,159,111,1239,11.16,9,2,1,9,,,186,296.5,300.5,241.0,64,7,19,120.0,1.55
19,20,Matthew Stafford,LAR,QB,33,17,17,404,601,4886,41,17,32,43,1.34,0,0,0,0,,0,5,2,0,,2,330,329.7,351.7,346.7,61,6,20,32.0,0.0
20,21,Stefon Diggs,BUF,WR,28,17,17,0,0,0,0,0,0,0,,0,164,103,1225,11.89,10,1,0,10,,,183,285.5,288.5,234.0,61,8,21,103.0,1.7766990291262137
21,22,Ezekiel Elliott,DAL,RB,26,17,17,1,1,4,0,0,237,1002,4.23,10,65,47,287,6.11,2,1,1,12,3,,205,252.1,259.1,228.6,59,6,22,284.0,0.721830985915493
22,23,Dak Prescott,DAL,QB,28,16,16,410,596,4449,37,10,48,146,3.04,1,0,0,0,,0,14,6,1,1,2,321,320.6,342.6,330.6,52,7,23,48.0,0.0
23,24,Nick Chubb,CLE,RB,26,14,14,0,0,0,0,0,228,1259,5.52,8,25,20,174,8.70,1,2,1,9,,,195,215.3,222.3,205.3,49,7,24,248.0,0.7862903225806451
24,25,Mike Williams,LAC,WR,27,16,14,0,0,0,0,0,0,0,,0,129,76,1146,15.08,9,0,0,9,1,,171,246.6,249.6,208.6,49,9,25,76.0,2.25
25,26,D.K. Metcalf,SEA,WR,24,17,17,0,0,0,0,0,1,6,6.00,0,129,75,967,12.89,12,1,0,12,,,169,244.3,247.3,206.8,48,10,26,76.0,2.223684210526316
26,27,Tyler Lockett,SEA,WR,29,16,16,0,0,0,0,0,2,9,4.50,0,107,73,1175,16.10,8,0,0,8,1,,168,241.4,244.4,204.9,47,11,27,75.0,2.24
27,28,Damien Harris,NWE,RB,24,15,15,0,0,0,0,0,202,929,4.60,15,21,18,132,7.33,0,2,2,15,,,192,210.1,218.1,201.1,46,8,28,220.0,0.8727272727272727
